date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:11	2834324/2834324	---M--	200	added ('OK')	video/mp4	etag:%2261784d48-2b3f94%22	https://www.controleur.ca/wp-content/uploads/2021/10/le_controleur_controle_financier.mp4	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/wp-content/uploads/2021/10/le_controleur_controle_financier.mp4	(from https://www.controleur.ca/)
09:10:12	59524/59524	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2016:10:09%20GMT	https://www.controleur.ca/amelioration-des-processus/	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/amelioration-des-processus/index.html	(from https://www.controleur.ca/)
09:10:13	2649001/2649001	---M--	200	added ('OK')	video/mp4	etag:%2261784d47-286ba9%22	https://www.controleur.ca/wp-content/uploads/2021/10/le_controleur_amelioration.mp4	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/wp-content/uploads/2021/10/le_controleur_amelioration.mp4	(from https://www.controleur.ca/)
09:10:15	1929116/1929116	---M--	200	added ('OK')	video/mp4	etag:%226463dc9e-1d6f9c%22	https://www.controleur.ca/wp-content/uploads/2023/05/le_controleur_migration.mp4	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/wp-content/uploads/2023/05/le_controleur_migration.mp4	(from https://www.controleur.ca/)
09:10:18	1422808/1422808	---M--	200	added ('OK')	video/mp4	etag:%226463dcf2-15b5d8%22	https://www.controleur.ca/wp-content/uploads/2023/05/le_controleur_controle_financier.mp4	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/wp-content/uploads/2023/05/le_controleur_controle_financier.mp4	(from https://www.controleur.ca/)
09:10:19	605360/605360	---M--	200	added ('OK')	video/mp4	etag:%226463dcfe-93cb0%22	https://www.controleur.ca/wp-content/uploads/2023/05/le_controleur_amelioration.mp4	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/wp-content/uploads/2023/05/le_controleur_amelioration.mp4	(from https://www.controleur.ca/)
09:10:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Oct%202023%2016:10:16%20GMT	https://www.controleur.ca/politique-de-confidentialite	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/politique-de-confidentialite	(from https://www.controleur.ca/)
09:10:20	47842/47842	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2016:10:16%20GMT	https://www.controleur.ca/les-vertus-de-limpartition/	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/les-vertus-de-limpartition/index.html	(from https://www.controleur.ca/)
09:10:20	47652/47652	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2016:10:17%20GMT	https://www.controleur.ca/le-cfo-du-futur/	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/le-cfo-du-futur/index.html	(from https://www.controleur.ca/)
09:10:21	45207/45207	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2016:10:17%20GMT	https://www.controleur.ca/les-pretentieux-manege/	C:/Users/ERROR404/Desktop/website/contral/www.controleur.ca/les-pretentieux-manege/index.html	(from https://www.controleur.ca/)
